"deviceid";"dt";"name";"switchno";"Location";"area";"rating";"totalload";"totalload_b";"totalload_y";"numberofpoles";"numberofpoles_b";"numberofpoles_y";"referencewattage_b";"referencewattage_y";"referencewattage";"typeofload";"latitude";"longitude";"mobile";"city";"userid";"phase";"wardno";"zone";"commandmode";"updated";"cpname";"cpmobileno"
1;"";"First";1;"EsmartS NAshik";"Satpur";1.0;1000.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;"Led";19.99613;73.729293;9422251514.0;5;7;1;0.0;"0";2;1;"";""
9;"2015-03-19 15:58:24";"";0;"nasik test";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;11;63;1;0.0;"0";1;1;"";""
1001;"2015-03-19 16:31:47";"";1001;"Gandhidham";"sector 8 nr shiv pla";12.0;30.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;"3";23.075297;70.133673;7888026245.0;9;22;3;1.0;"1";1;1;"";""
2;"2015-03-20 02:03:12";"";2;"ambadS";"nashik";1.0;1000.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;"LED";19.961;73.753;0.0;5;7;1;1.0;"0";1;1;"";""
4;"2015-03-20 16:54:02";"";4;"as";"fs";12.0;15.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;"LED";23.0;55.0;0.0;5;7;1;0.0;"0";1;1;"";""
5;"2015-03-20 16:54:47";"";5;"Ambad";"MIDC";10.0;11.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;"LED";19.9532018;73.7389239;0.0;11;63;1;1.0;"0";1;1;"";""
3;"2015-03-20 17:01:33";"";3;"KATHWARA";"LUCKNOW";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;11;63;1;0.0;"0";1;1;"";""
2222;"2015-03-20 17:16:03";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;1;0.0;"";1;0;"";""
1234;"2015-03-22 19:54:01";"";1234;"BHIKAKA SOCIETY";"V1/160/F16";415.0;1000.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;"1";23.919621;73.7536377;9130033590.0;10;62;1;0.0;"0";1;1;"";""
2111;"2015-03-24 00:35:09";"";2345;"A.S. Raja Ground";"Opp. to A.S. Raja Gr";3220.0;3220.0;0.0;0.0;56.0;0.0;0.0;0.0;0.0;0.0;"LED";17.7398612;83.3379608;7095434866.0;2;2;1;2.0;"C";2;1;"";""
3111;"2015-03-24 01:17:23";"";1234;"Beach Road E-Seva";"Opp. to Srinivasa Ga";5760.0;5760.0;0.0;0.0;46.0;0.0;0.0;0.0;0.0;0.0;"LED";17.891798;83.4533902;7095434893.0;2;2;3;1234.0;"D";1;0;"";""
4333;"2015-03-31 19:15:31";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;2;0;1;0.0;"0";1;1;"";""
1111;"2015-04-01 08:32:15";"";0;"";"";1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;9370119223.0;2;2;1;0.0;"";1;0;"";""
115;"2015-04-02 00:11:07";"";115;"GOPUBHANDHU(HIGHMAST";"BBSR";220.0;2.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;"LEDSTL+24A";20.296059;85.82454;9075035727.0;3;5;1;57.0;"SOUTH-WEST";1;1;"";""
114;"2015-04-02 11:28:37";"";114;"GOVERNOUR HOUSE HIMA";"BBSR,";250.0;2.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;"LEDSTL+24A";20.296059;85.82454;9075035726.0;3;5;1;46.0;"SOUTH-WEST";1;1;"";""
11;"2015-04-29 19:31:24";"";11;"KALOL, PANCHMAHAL";"LAL DARWAJA, HIGHWAY";41.57;5.0;0.0;0.0;127.0;0.0;0.0;0.0;0.0;0.0;"LEDSTL-32A";22.60743;73.462658;9075035691.0;5;7;1;0.0;"1";2;1;"";""
112;"2015-04-29 19:34:17";"";112;"KALPANA FIRE STATION";"BBSR";146.0;5.0;0.0;0.0;35.0;0.0;0.0;0.0;0.0;0.0;"LEDSTL+24A";20.296059;85.82454;9075035712.0;3;5;1;56.0;"SOUTH-EAST";1;1;"";""
1002;"";"";1002;"Aadipur";"6/B Hemu Kalani Naga";40.0;2.0;0.0;0.0;38.0;0.0;0.0;0.0;0.0;0.0;"1";23.082313;70.102787;7888026242.0;9;22;1;1.0;"C";2;1;"";""
1003;"";"";1003;"Ghandhidham";"ward no 9 B plot352";95.0;5600.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;"3";23.082977;70.110602;7888026239.0;9;22;3;2.0;"1";1;1;"";""
1004;"";"";1004;"Ghandhidham";"GIDC plot no 114";150.0;4600.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;"3";23.066087;70.142322;7888026240.0;9;22;3;1.0;"1";2;1;"";""
1005;"";"";1005;"Ghandhidham";"sector 7/plot 350";95.0;9.0;0.0;0.0;171.0;0.0;0.0;0.0;0.0;0.0;"3";23.047762;70.122328;7888026243.0;9;22;3;1.0;"1";2;1;"";""
2112;"2015-06-14 16:07:30";"";2112;"SS-159/B/1";"Rajendra Nagar, sri ";1411.0;690.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;69.0;"1";17.733;83.31;9130032112.0;1;1;1;13.0;"2";2;1;"";""
3123;"2015-06-16 15:54:47";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;1;0.0;"";1;0;"";""
3112;"2015-06-16 16:19:30";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;1;0.0;"";1;0;"";""
3115;"2015-06-16 16:34:28";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;1;0.0;"";1;0;"";""
6666;"2015-06-21 15:47:52";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;2;3;1;0.0;"0";1;1;"";""
2113;"2015-06-21 17:44:18";"";2113;"SS-176/A";"SBI, MVP Clony";790.0;370.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;62.0;"1";17.743;83.331;9130032113.0;1;1;1;8.0;"2";2;1;"";""
2114;"2015-06-21 17:49:30";"";2114;"SS-56/B";"G.A Naidu ENCLAVE";1810.0;870.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;58.0;"1";17.72947;83.30249;9130032114.0;1;1;1;15.0;"2";2;1;"";""
111;"2015-06-22 12:40:31";"";111;"PRESS CHHAKA KALINGA";"BBSR, KALI MANDIR";110.0;6.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;"LEDSTL+32A";20.296059;85.82454;9075035711.0;3;5;1;12.0;"NORTH";1;1;"";""
3114;"2015-06-25 16:07:34";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;1;0.0;"";1;0;"";""
3122;"2015-06-25 16:12:50";"";5;"Vizag";"Vizag";1240.0;1250.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;"1";17.93;18.467;9130031694.0;2;2;1;1.0;"C";1;0;"";""
3116;"2015-06-29 16:15:25";"";3116;"loactopw";"VZ";1250.0;1250.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;"1";17.0;83.0;9222523531.0;2;2;1;1.0;"1";1;0;"";""
3117;"2015-06-29 17:44:29";"";3117;"addd";"latit";1250.0;1250.0;0.0;0.0;1250.0;0.0;0.0;0.0;0.0;0.0;"1";17.899;83.2355;9265426583.0;2;2;1;1.0;"1";1;0;"";""
3118;"2015-06-29 18:14:06";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;2;2;1;0.0;"";1;0;"";""
3127;"2015-07-01 12:36:34";"";1;"Vizag";"Vizag";6000.0;90.0;0.0;0.0;90.0;0.0;0.0;0.0;0.0;0.0;"1";17.89;83.455;9130031215.0;2;2;1;1.0;"C";1;0;"";""
3171;"2015-07-12 11:55:40";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;1;0.0;"";1;0;"";""
3182;"2015-07-12 12:00:29";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;2;0;1;0.0;"0";1;1;"";""
3179;"2015-07-13 17:51:25";"";1;"kinnera ";"kinnera";5500.0;5500.0;0.0;0.0;48.0;0.0;0.0;0.0;0.0;0.0;"3";17.899;83.46;9130031679.0;2;2;3;1.0;"2";1;0;"";""
1677;"2015-07-13 19:51:15";"";1677;"Shanti Ashram";"Beach Road Vizag";11000.0;5020.0;1200.0;1680.0;38.0;10.0;14.0;120.0;120.0;120.0;"3";17.732;83.34;9075035993.0;1;1;3;17.0;"2";2;1;"";"9966049085"
1672;"2015-07-14 10:59:36";"";1672;"Akkayapalem , H-10";"Highway";16000.0;5600.0;980.0;1260.0;40.0;7.0;9.0;140.0;140.0;140.0;"3";17.74;83.297;9130031672.0;1;1;3;34.0;"4";2;1;"";""
1673;"2015-07-14 12:14:33";"";1673;"Shadi Khana , H-9";"Highway";21400.0;7360.0;2560.0;2080.0;46.0;16.0;13.0;160.0;160.0;160.0;"3";17.739;83.296;9130031673.0;1;1;3;32.0;"4";2;1;"";""
1679;"2015-07-14 12:31:09";"";1679;"KinneraTheatre, H-12";"Highway";12400.0;4980.0;1120.0;2560.0;31.0;7.0;16.0;160.0;160.0;160.0;"3";17.734;83.317;9130033881.0;1;1;3;14.0;"2";2;1;"";"9966049085"
1690;"2015-07-14 13:04:43";"";1690;"Lumbani Park";"Appu Ghar Vizag";12000.0;4550.0;1680.0;1400.0;22.0;12.0;10.0;140.0;140.0;210.0;"3";17.741;83.343;9130031690.0;1;1;3;7.0;"2";2;1;"";"9966049085"
1692;"2015-07-14 13:22:54";"";1692;"Pedawaltair Depot";"Pedwaltair Vizag";2400.0;590.0;420.0;420.0;6.0;2.0;2.0;210.0;210.0;210.0;"3";17.729;83.342;9130031692.0;1;1;3;17.0;"2";2;1;"";"9966049085"
1694;"2015-07-14 14:15:43";"";1694;"Vuda Park ";"Beach Road";27200.0;10520.0;4500.0;2240.0;68.0;27.0;14.0;166.0;160.0;160.0;"3";17.724;83.338;9130031694.0;1;1;3;17.0;"2";2;1;"";"9966049085"
3181;"2015-07-14 16:48:25";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;1;0.0;"";1;0;"";""
1693;"2015-07-14 16:50:57";"";1693;"Sand Lawn";"Beach Road Vizag";27000.0;9350.0;3360.0;2040.0;68.0;28.0;17.0;120.0;120.0;120.0;"3";17.711;83.318;9130033775.0;1;1;3;18.0;"2";2;1;"";"9966049085"
3180;"2015-07-14 17:02:46";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;1;0.0;"";1;0;"";""
1680;"2015-07-14 17:11:52";"";1680;"Fish Aqarium";"Beach Road Vizag";18500.0;5960.0;1920.0;2240.0;40.0;12.0;14.0;160.0;160.0;160.0;"3";17.712;83.319;9130033781.0;1;1;3;18.0;"2";2;1;"";"9966049085"
1688;"2015-07-14 17:28:14";"";1688;"R K Beach Hi-Most";"Beach Road Vizag";9800.0;2600.0;980.0;980.0;18.0;6.0;6.0;164.0;164.0;150.0;"3";17.711;83.318;8669614849.0;1;1;3;18.0;"2";2;1;"";"9966049085"
1682;"2015-07-14 17:38:50";"";1682;"Children";"Beach Road Vizag";16500.0;4080.0;1320.0;1200.0;34.0;11.0;10.0;120.0;120.0;120.0;"3";17.709;83.315;8669689721.0;1;1;3;20.0;"3";2;1;"";"9989168824"
1671;"2015-07-15 10:52:59";"";1671;"Venkojipalem , H-14";"Highway";18150.0;5960.0;700.0;3360.0;39.0;5.0;24.0;140.0;140.0;140.0;"3";17.747;83.33;9130031671.0;1;1;3;9.0;"2";2;1;"";"9966049085"
1686;"2015-07-15 11:37:40";"";1686;"Venkojipalem , H-13";"Highway";18750.0;4900.0;1960.0;840.0;35.0;14.0;6.0;140.0;140.0;140.0;"3";17.747;83.33;9130033872.0;1;1;3;8.0;"2";2;1;"";"9966049085"
1676;"2015-07-15 18:28:00";"";1676;"Aqua Sports Complex";"Beach Road Vizag";28400.0;7420.0;2880.0;2720.0;51.0;18.0;17.0;160.0;160.0;160.0;"3";17.715;83.325;9075036146.0;1;1;3;18.0;"2";2;1;"";"9966049085"
1687;"2015-07-15 18:44:23";"";1687;"YMCA";"RK beach road";32400.0;9800.0;3840.0;4320.0;76.0;24.0;27.0;160.0;160.0;160.0;"3";17.719;83.333;9130033874.0;1;1;3;18.0;"2";2;1;"";"9966049085"
1683;"2015-07-16 10:39:13";"";1683;"vasavanipalem";"Beach Road Vizag";19500.0;6590.0;2400.0;2160.0;46.0;20.0;18.0;120.0;120.0;120.0;"3";17.739;83.342;9130031683.0;1;1;3;17.0;"2";2;1;"";"9966049085"
1684;"2015-07-18 14:10:10";"";1684;"MVP colony, SS-79 ";"Yeshoda Road";3984.0;3984.0;0.0;0.0;48.0;0.0;0.0;0.0;0.0;83.0;"1";17.73877;83.33699;9130031684.0;1;1;1;8.0;"2";2;1;"";""
1787;"2015-07-23 17:07:00";"";1787;"SS-51B/1";"Lawson Bay Colony, B";1840.0;880.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;52.0;"1";17.733;83.336;9130031787.0;1;1;1;7.0;"2";2;1;"";""
1789;"2015-07-24 17:33:14";"";1789;"SS-81B/1";"M.V.P.Sector 10";600.0;300.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;20.0;"1";17.74154;83.33976;9130031789.0;1;1;1;7.0;"2";2;1;"";""
2170;"2015-07-24 18:23:03";"";2170;"SS-118/A/1";"MVP sector 9";300.0;160.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;27.0;"1";17.74328;83.33993;9130032170.0;1;1;1;7.0;"2";2;1;"";""
1788;"2015-07-24 19:20:56";"";1788;"SS-120B/2";"MVP sector 9";1280.0;620.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;56.0;"1";17.74281;83.34099;9130031788.0;1;1;1;7.0;"2";2;1;"";""
1736;"2015-07-25 14:37:00";"";1736;"Sector-9,SS-117/A/1";"MVP Colony,";320.0;160.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;20.0;"1";17.743324;83.342202;9130031736.0;1;1;1;7.0;"2";2;1;"";""
1745;"2015-07-25 16:31:55";"";1745;"Sector-9,.SS-124/A/";"MVP Colony";200.0;100.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;20.0;"1";17.742324;83.344202;9130031745.0;1;1;1;7.0;"2";2;1;"";""
2154;"2015-07-25 17:14:53";"";2154;"SS-122AB/1";"MVP sector 9";310.0;150.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;30.0;"1";17.744324;83.343202;9130032154.0;1;1;1;7.0;"2";2;1;"";""
1815;"2015-07-25 17:32:50";"";1815;"DF-124/213/B/2";"MVP Col.KailasgiriRd";610.0;300.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;33.0;"1";17.733635;83.338934;9075035925.0;1;1;1;7.0;"2";2;1;"";""
1711;"2015-07-25 17:36:34";"";1711;"Sector-9,SS-196/AB/1";"MVPColony";2510.0;1230.0;0.0;0.0;39.0;0.0;0.0;0.0;0.0;31.0;"1";17.742324;83.344202;9130031711.0;1;1;1;7.0;"2";2;1;"";""
1678;"2015-07-25 19:40:45";"";1678;"Road, SS-129/A/1";"Vasavani Palem,Beach";1340.0;660.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;24.0;"1";17.744;83.343;9130031678.0;1;1;1;7.0;"2";2;1;"";""
1834;"2015-07-25 19:54:41";"";1834;"Sector 9, SS-128/A/5";"MVP Colony";480.0;240.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;20.0;"1";17.743324;83.34402;9130031834.0;1;1;1;7.0;"2";2;1;"";""
1691;"2015-07-26 13:52:06";"";1691;"SS-125/A/2";"Location: MPV Colony";420.0;200.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;40.0;"1";17.75154;83.33576;8669614809.0;1;1;1;7.0;"2";2;1;"";""
1696;"2015-07-26 13:53:09";"";0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"";0.0;0.0;0.0;0;0;3;0.0;"";1;0;"";""
2162;"2015-07-27 12:54:51";"";2162;"SS-165/A/1";"MVP Sector-10";310.0;160.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;23.0;"1";17.740379;83.342202;9130032162.0;1;1;1;7.0;"2";2;1;"";""
1757;"2015-07-27 13:28:47";"";1757;"Sector-11,SS-89/A/1";"MVP Colony";780.0;380.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;27.0;"1";17.738816;83.339529;9130031757.0;1;1;1;7.0;"2";2;1;"";""
1814;"2015-07-27 13:44:04";"";1814;"DF251/87/B/1";"M.V.P.Sector 11";280.0;140.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;20.0;"1";17.730816;83.338529;9130031814.0;1;1;1;7.0;"2";2;1;"";""
1849;"2015-07-27 14:00:28";"";1849;"SS-87/B/1";"MVP Sector 11, Resid";850.0;410.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;32.0;"1";17.727;83.3;9130031849.0;1;1;1;7.0;"2";2;1;"";""
2005;"2015-07-27 15:05:56";"";2005;"SS-152/B";"M.V.P.Sector 11";750.0;370.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;23.0;"1";17.730616;83.337529;9130032027.0;1;1;1;7.0;"2";2;1;"";""
2002;"2015-07-27 16:53:23";"";2002;"MVPsector-6,SS-61B/1";"Sri VenkateswarSwamy";1410.0;690.0;0.0;0.0;27.0;0.0;0.0;0.0;0.0;26.0;"1";17.745;83.335;9130032002.0;1;1;1;8.0;"2";2;1;"";""
1726;"2015-07-27 17:23:54";"";1726;"SS-43/B/12";"Lawson Bay Colony";2020.0;960.0;0.0;0.0;23.0;0.0;0.0;0.0;0.0;42.0;"1";17.733235;83.338534;9130031726.0;1;1;1;7.0;"2";2;1;"";""
2066;"2015-07-27 18:32:29";"";2066;"SS-42/A/2";"LAwsonBay Colony,";760.0;380.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;32.0;"1";17.733035;83.338334;9130032066.0;1;1;1;7.0;"2";2;1;"";""
2156;"2015-07-27 19:24:44";"";2156;"SS-42B/2 ";"LawsonsBayColony,   ";1890.0;910.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;51.0;"1";17.733;83.338;9130032156.0;1;1;1;7.0;"2";2;1;"";""
1721;"2015-07-28 09:27:41";"";1721;"SS-36/A/1";"Lawson Bay Colony,";2000.0;940.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;55.0;"1";17.733435;83.338734;9130031721.0;1;1;1;7.0;"2";2;1;"";""
